Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1671.393899488507
FDW14,OUT017,1285.0172586906185
NCN55,OUT010,645.279696446544
FDQ58,OUT017,2352.720116032851
FDY38,OUT027,5832.579966608705
FDH56,OUT046,1895.7107657921704
FDL48,OUT018,652.5036350403881
FDC48,OUT027,2056.941708677709
FDN33,OUT045,1588.0684248380574
FDA36,OUT017,2864.945260688018
FDT44,OUT017,1812.635066961291
FDQ56,OUT045,1548.870767492775
NCC54,OUT019,623.3307581012318
FDU11,OUT049,1961.6204961828275
DRL59,OUT013,799.537986930476
FDM24,OUT049,2272.513962397207
FDI57,OUT045,3284.9507429659693
DRC12,OUT018,3097.13851190121
NCM42,OUT027,3027.0877918523847
FDA46,OUT010,416.0158986031704
FDA31,OUT013,2890.6164775548923
NCJ31,OUT035,3740.658062218111
FDG52,OUT046,746.8200056151142
NCL19,OUT019,343.4401918720908
FDS10,OUT035,2988.1891706053516
FDX22,OUT010,686.2687144591804
NCF19,OUT035,724.6848250903912
NCE06,OUT046,2374.656813058054
DRC27,OUT046,4081.831121261115
FDE21,OUT035,2021.169854411345
NCR42,OUT019,63.816570604339574
FDX51,OUT018,2993.910764700396
NCR06,OUT018,457.40345991237206
FDU31,OUT027,5735.225528540467
FDU59,OUT017,2317.7264637735957
FDR03,OUT027,5297.264244416147
FDS49,OUT027,1900.2142670276014
FDD48,OUT010,236.19203103617517
NCF18,OUT017,3068.9190466269647
NCD43,OUT027,2252.992012158343
NCD54,OUT018,1926.8925681807732
FDY19,OUT010,268.60108433103863
NCY54,OUT017,2817.1532057669747
NCL19,OUT018,2160.073383987859
FDP23,OUT010,468.83130156185985
FDC26,OUT013,1680.07455938749
FDR14,OUT010,147.34244514077417
NCS41,OUT035,3168.406557441624
FDF41,OUT035,3874.739893466702
FDU34,OUT046,2050.994737177774
DRH11,OUT046,825.7508062593415
FDM03,OUT013,1729.8062691695907
FDS31,OUT017,3016.061247145188
FDJ20,OUT017,1912.328443839176
FDV44,OUT027,4410.937210074336
FDG02,OUT049,3026.6590794025833
FDA09,OUT013,3200.9208211906034
FDT04,OUT013,598.5958350327143
FDL58,OUT019,627.6459574722575
FDE52,OUT045,1344.8595210869266
FDW12,OUT035,2704.515181164442
FDL51,OUT017,3172.5755405488726
NCY42,OUT027,2787.821150869729
FDR07,OUT017,1486.1126322031785
FDN40,OUT045,2257.1141254933023
FDB35,OUT027,2503.329495677041
FDA22,OUT017,2484.555335718909
NCL06,OUT046,4406.569990701929
FDI35,OUT013,3291.9301549097804
NCW42,OUT045,3983.2854511051955
NCX06,OUT049,3004.806993473897
FDC37,OUT027,2487.081148493916
FDZ14,OUT018,1843.2381865854272
DRG49,OUT049,4077.1545450859953
NCG06,OUT045,4111.908727592162
DRC36,OUT045,3088.68577805867
FDV21,OUT019,394.89607647727854
FDB53,OUT046,2840.364357276652
DRP47,OUT019,632.4709683700038
FDA14,OUT013,2416.3525743941464
DRC24,OUT035,2618.9343705441306
FDW21,OUT018,1471.9090388529203
NCH29,OUT046,1642.8924495910346
FDU58,OUT013,3276.764640009509
FDY27,OUT017,2864.7293799685744
FDV56,OUT035,1666.001550818072
FDT59,OUT046,3897.378343831955
FDB23,OUT046,3728.8863559077236
FDR49,OUT045,790.7435091154215
FDB03,OUT010,555.4405766020512
FDN39,OUT045,2619.7163914952516
FDX02,OUT027,5578.977889073531
FDQ16,OUT027,2560.140197839305
FDU35,OUT018,1426.3281233794376
NCT29,OUT013,1950.4331973645076
FDZ27,OUT046,776.4378895958213
FDN57,OUT017,1936.2551498655562
FDA03,OUT018,1957.6110473275812
FDZ36,OUT045,3124.9757006614486
NCU05,OUT013,1246.109711104175
FDT39,OUT018,2058.674334005926
FDK60,OUT017,1560.430893919627
FDZ25,OUT017,2875.9217596102967
FDG12,OUT046,2215.7537225589667
DRB01,OUT019,556.0569403908161
NCC43,OUT027,5948.189950052199
FDX13,OUT019,571.8439015294156
FDM22,OUT049,850.1704369731789
FDJ03,OUT027,1538.0069267584288
FDU14,OUT018,3932.5665740680506
FDB33,OUT010,406.14001172214245
FDP27,OUT046,3220.89501863972
FDO38,OUT010,159.40406940670798
FDE28,OUT027,6283.40042297975
